date,mainCategoryName,subcategoryName,timeRecorded,timeSpent,currentLoggedInUser
2021-08-08,Entertainment,SM/Anime/MM,N/A,96.57,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-08,Sleep,Sleep,N/A,431.8577992223824,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-08,Education,Studied/Revised,N/A,174.49,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-08,Entertainment,Video Games,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-09,Skills,English Comms,N/A,51.41,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-09,Self Development,Exercise,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-09,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-09,Self Development,Reading,N/A,20.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-09,Entertainment,SM/Anime/MM,N/A,128.11,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-09,Sleep,Sleep,N/A,431.37877672305376,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-09,Education,Studied/Revised,N/A,365.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-09,Entertainment,Video Games,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-10,Skills,English Comms,N/A,57.64,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-10,Self Development,Exercise,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-10,Skills,Programming,N/A,77.28,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-10,Self Development,Reading,N/A,40.36,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-10,Entertainment,SM/Anime/MM,N/A,49.260000000000005,hhANBj74wiclvfuDLGfuDlFZgJ62
